عبارت,فرکانس کل,تعداد پرونده‌ی متمایز,دسته‌ی پیشنهادی,نزدیک‌ترین واژه‌ی موجود (امتیاز),پیشنهاد نهایی
دادگاه,20482,2330,role,رئیس دادگاه (0.79),واژه‌ی جدید
دادنامه,10656,2286,concept,دادرسی (0.76),واژه‌ی جدید
شماره,9150,2269,object,شماره پرونده (0.84),واژه‌ی جدید
صادر,6725,2249,role,صادرکننده (0.77),واژه‌ی جدید
صادره,5704,2114,role,صادرکننده (0.73),واژه‌ی جدید
عمومی,5575,2095,object,خدمات عمومی (0.74),واژه‌ی جدید
اینکه,6870,2065,object,قضیه (0.67),واژه‌ی جدید
خواسته,6402,2026,object,طلب (0.77),واژه‌ی جدید
خواهان,11578,2020,object,طلب (0.75),واژه‌ی جدید
اعلام,6194,2013,object,اعلامیه حراج (0.75),واژه‌ی جدید
استان,4292,2006,concept,شرکت (0.65),واژه‌ی جدید
نظر,6230,2004,role,صاحب‌نظر (0.77),واژه‌ی جدید
قابل,3598,2002,concept,قابل اجرا بودن (0.72),واژه‌ی جدید
دادنامه شماره,3611,1968,object,شماره پرونده (0.75),واژه‌ی جدید
آقای,9126,1961,role,نویسنده (0.71),واژه‌ی جدید
نسبت به,5016,1910,concept,نسبت (0.78),واژه‌ی جدید
مستشار,2280,1906,role,مشاور (0.80),واژه‌ی جدید
رئیس,3004,1871,role,رئیس دادگاه (0.79),واژه‌ی جدید
خصوص,4153,1864,concept,طی شرایط خاص (0.70),واژه‌ی جدید
دادگاه عمومی,3597,1858,role,دیوان عدالت اداری (0.77),واژه‌ی جدید
توجه,4741,1844,principle,احتیاط (0.78),واژه‌ی جدید
قطعی,2394,1831,concept,احکام قطعی (0.81),واژه‌ی جدید
روز,2934,1818,object,رکورد (0.55),واژه‌ی جدید
نماید,4911,1817,object,تبصره (0.61),واژه‌ی جدید
تجدیدنظر استان,3354,1806,concept,تجدیدنظر (0.83),واژه‌ی جدید
در خصوص,3697,1797,principle,طبق قانون (0.74),واژه‌ی جدید
توجه به,4350,1795,principle,احتیاط (0.77),واژه‌ی جدید
خوانده,8736,1783,object,تعرفه (0.60),واژه‌ی جدید
تهران,8117,1764,role,شهرداری (0.60),واژه‌ی جدید
طرفیت,3152,1753,action,تبعیت (0.70),واژه‌ی جدید
ابلاغ,2923,1747,action,استعلام (0.67),واژه‌ی جدید
ضمن,3217,1723,principle,طبق قانون (0.73),واژه‌ی جدید
